video_id,step_id,text,action,start_time,end_time
handwash_001,1,start the faucet,turn on tap,0,2
handwash_001,2,hold hands under running water,wet hands,2,5
handwash_001,3,put soap on hands,apply soap,5,7
handwash_001,4,lather your hands,rub hands,7,10
handwash_001,5,wash off soap,rinse hands,10,12
handwash_001,6,turn off tap,turn off tap,12,15
handwash_002,1,turn on tap,turn on tap,0,3
handwash_002,2,wet hands,wet hands,3,7
handwash_002,3,add soap to your hands,apply soap,7,10
handwash_002,4,rub hands,rub hands,10,13
handwash_002,5,wash off soap,rinse hands,13,17
handwash_002,6,turn off tap,turn off tap,17,20
handwash_003,1,reach and turn on the tap,turn on tap,0,4
handwash_003,2,hold hands under running water,wet hands,4,8
handwash_003,3,apply soap,apply soap,8,12
handwash_003,4,lather your hands,rub hands,12,17
handwash_003,5,rinse hands,rinse hands,17,21
handwash_003,6,switch off the tap,turn off tap,21,22
handwash_004,1,open the tap,turn on tap,0,3
handwash_004,2,wet hands,wet hands,3,6
handwash_004,3,apply soap,apply soap,6,8
handwash_004,4,lather your hands,rub hands,8,13
handwash_004,5,clean hands with water,rinse hands,13,16
handwash_004,6,stop the faucet,turn off tap,16,18
handwash_005,1,switch on the tap,turn on tap,0,4
handwash_005,2,place hands under water,wet hands,4,6
handwash_005,3,put soap on hands,apply soap,6,8
handwash_005,4,rub hands together,rub hands,8,13
handwash_005,5,clean hands with water,rinse hands,13,17
handwash_005,6,close the tap,turn off tap,17,18
handwash_006,1,turn on tap,turn on tap,0,2
handwash_006,2,get your hands wet,wet hands,2,4
handwash_006,3,put soap on hands,apply soap,4,8
handwash_006,4,scrub hands,rub hands,8,11
handwash_006,5,rinse hands,rinse hands,11,14
handwash_006,6,close the tap,turn off tap,14,17
handwash_007,1,open the tap,turn on tap,0,4
handwash_007,2,get your hands wet,wet hands,4,7
handwash_007,3,apply soap,apply soap,7,10
handwash_007,4,rub hands,rub hands,10,13
handwash_007,5,clean hands with water,rinse hands,13,15
handwash_007,6,stop the faucet,turn off tap,15,18
handwash_008,1,turn on tap,turn on tap,0,2
handwash_008,2,wet hands,wet hands,2,5
handwash_008,3,use soap,apply soap,5,7
handwash_008,4,clean hands by rubbing,rub hands,7,12
handwash_008,5,rinse hands with water,rinse hands,12,14
handwash_008,6,close the tap,turn off tap,14,15
handwash_009,1,switch on the tap,turn on tap,0,4
handwash_009,2,wet hands,wet hands,4,7
handwash_009,3,put soap on hands,apply soap,7,9
handwash_009,4,clean hands by rubbing,rub hands,9,14
handwash_009,5,wash off soap,rinse hands,14,16
handwash_009,6,stop the faucet,turn off tap,16,19
handwash_010,1,open the tap,turn on tap,0,4
handwash_010,2,get your hands wet,wet hands,4,7
handwash_010,3,spread soap on your hands,apply soap,7,11
handwash_010,4,rub hands,rub hands,11,15
handwash_010,5,clean hands with water,rinse hands,15,17
handwash_010,6,turn off tap,turn off tap,17,18
handwash_011,1,switch on the tap,turn on tap,0,3
handwash_011,2,get your hands wet,wet hands,3,5
handwash_011,3,put soap on hands,apply soap,5,7
handwash_011,4,scrub hands,rub hands,7,12
handwash_011,5,wash off soap,rinse hands,12,14
handwash_011,6,turn off tap,turn off tap,14,15
handwash_012,1,open the tap,turn on tap,0,2
handwash_012,2,place hands under water,wet hands,2,6
handwash_012,3,add soap to your hands,apply soap,6,8
handwash_012,4,rub hands,rub hands,8,11
handwash_012,5,clean hands with water,rinse hands,11,14
handwash_012,6,switch off the tap,turn off tap,14,15
handwash_013,1,turn on tap,turn on tap,0,3
handwash_013,2,wet hands,wet hands,3,7
handwash_013,3,spread soap on your hands,apply soap,7,11
